qid;zooLabel;countryLabel;inception;regionLabel;lat;long
Q19611523;eskisehir zoo;Turkey;2017-05-01T00:00:00Z;Eskisehir;397.680.549.621.582;3.047.638.893.127.440
Q162722;ueno zoo;Japan;1882-01-01T00:00:00Z;Ueno-koen;3.571.749.877.929.680;1.397.713.928.222.650
Q2891853;qalqilya zoo;Palestine;1986-01-01T00:00:00Z;Qalqilya;3.219.538.497.924.800;3.497.075.271.606.440
Q220207;hong kong zoological and botanical gardens;People's Republic of China;;Central and Western District;2.227.777.862.548.820;1.141.563.873.291.010
Q20669929;chengdu zoo;People's Republic of China;1953-01-01T00:00:00Z;Chengdu;;
Q1142942;national zoo of malaysia;Malaysia;1963-11-14T00:00:00Z;Gombak;3.209.722.280.502.310;1.017.577.743.530.270
Q3364809;national zoological park delhi;India;1959-01-01T00:00:00Z;;2.860.443.496.704.100;7.724.620.056.152.340
Q28980;manila ocean park;Philippines;2008-03-01T00:00:00Z;Manila;145.793.399.810.791;1.209.732.971.191.400
Q4731647;kanpur zoological park;India;1974-02-04T00:00:00Z;;265.029.239.654.541;8.030.340.576.171.870
Q24038908;kamla nehru prani sangrahalay;India;;;2.270.199.966.430.660;7.587.999.725.341.790
Q24952457;gorewada zoo;India;;Maharashtra;;
Q10566319;chimelong safari park;People's Republic of China;1997-12-26T00:00:00Z;Guangzhou;;
Q3576017;khao kheow open zoo;Thailand;1978-06-01T00:00:00Z;Bang Phra;1.321.399.974.822.990;1.010.599.975.585.930
Q2182381;japan monkey centre;Japan;;Inuyama;;
Q4467974;tianjin zoo;People's Republic of China;1980-01-01T00:00:00Z;;;
Q11526117;tohoku safari park;Japan;;Nihonmatsu;;
Q21930126;voc park and zoo;India;;;1.100.571.823.120.110;7.697.091.674.804.680
Q2116901;dubai dolphinarium;United Arab Emirates;2008-05-21T00:00:00Z;Emirate of Dubai;2.523.460.006.713.860;5.532.669.830.322.260
Q11305053;sahoro resort bear mountain;Japan;;Shintoku;;
Q2349688;baghdad zoo;Iraq;1971-01-01T00:00:00Z;Baghdad;3.331.484.603.881.830;4.437.641.525.268.550
Q22080053;sajjangarh biological park;India;;Rajasthan;2.459.318.351.745.600;7.364.972.686.767.570
Q1144452;national zoological gardens of sri lanka;Sri Lanka;1936-01-01T00:00:00Z;;6.856.805.324.554.440;7.987.288.665.771.480
Q19613864;izmir wildlife park;Turkey;2008-11-30T00:00:00Z;Çigli district;;
Q2125883;"underwater world, singapore";Singapore;1991-01-01T00:00:00Z;Sentosa;1.258.599.996.566.770;1.038.112.030.029.290
Q11455860;fuji safari park;Japan;1980-04-23T00:00:00Z;Susono;;
Q13014565;safari park open zoo;Thailand;;Nong Kum;;
Q11474596;iwate safari park;Japan;;Ichinoseki;;
Q11454160;q11454160;Japan;;;;
Q11609531;gunma safari park;Japan;1979-05-01T00:00:00Z;Tomioka;;
Q2660049;kuala lumpur bird park;Malaysia;1991-01-01T00:00:00Z;Kuala Lumpur;3.142.433.643.341.060;1.016.884.689.331.050
Q22675361;q22675361;North Korea;;;;
Q2723997;rajiv gandhi zoological park;India;1999-03-14T00:00:00Z;Pune;1.845.290.565.490.720;7.386.117.553.710.930
Q2234723;night safari;Singapore;1994-05-26T00:00:00Z;Central Water Catchment;1.402.259.945.869.440;1.037.878.875.732.420
Q2033070;safari world;Thailand;1988-02-17T00:00:00Z;Bangkok;1.386.499.977.111.810;1.007.030.029.296.870
Q3346440;alipore zoological gardens;India;1876-05-01T00:00:00Z;"Ward No. 74, Kolkata Municipal Corporation";2.253.591.346.740.720;883.320.541.381.836
Q3350326;bangladesh national zoo;Bangladesh;1974-06-23T00:00:00Z;;2.381.267.356.872.550;9.034.461.212.158.200
Q5527559;gatwala wildlife park;Pakistan;1992-01-01T00:00:00Z;;;
Q19746000;q19746000;Indonesia;;Semarang;;
Q25663373;albay park and wildlife;Philippines;;Legazpi;;
Q81821;hiroshima city asa zoological park;Japan;1971-09-01T00:00:00Z;Asakita-ku;3.449.785.614.013.670;1.324.406.890.869.140
Q3495905;padmaja naidu himalayan zoological park;India;1958-01-01T00:00:00Z;Darjeeling;2.705.860.900.878.900;8.825.440.216.064.450
Q1054648;tennoji zoo;Japan;1915-01-01T00:00:00Z;Q86727104;3.465.255.737.304.680;1.355.084.991.455.070
Q861893;naypyidaw safari park;Myanmar;2011-02-12T00:00:00Z;Naypyidaw;;
Q2915736;jerusalem biblical zoo;Israel;1940-01-01T00:00:00Z;Jerusalem;3.174.944.496.154.780;3.517.694.473.266.600
Q2713110;ragunan zoo;Indonesia;1864-01-01T00:00:00Z;;-6.311.587.333.679.190;1.068.199.157.714.840
Q25247987;ridiyagama safari park;Sri Lanka;;;;
Q16345864;gazipur safari park;Bangladesh;2013-11-01T00:00:00Z;Gazipur District;;
Q4062771;almaty zoo;Soviet Union;1936-01-01T00:00:00Z;Almaty;;
Q3523523;mysore zoo;India;1892-01-01T00:00:00Z;Mysore;1.230.080.032.348.630;766.677.017.211.914
Q19893153;rohtak zoo;India;;Haryana;288.788.890.838.623;7.663.583.374.023.430
Q94465;eram zoo;Iran;1990-01-01T00:00:00Z;District 5;3.571.849.822.998.040;5.129.349.899.291.990
Q20984189;qinhuangdao wildlife park;People's Republic of China;1995-01-01T00:00:00Z;;;
Q647587;arignar anna zoological park;India;1855-01-01T00:00:00Z;Chengalpattu district;1.287.917.041.778.560;8.008.167.266.845.700
Q290283;karagandy zoo;Kazakhstan;1938-01-01T00:00:00Z;Karaganda;;
Q25058046;shenzhen safari park;People's Republic of China;1993-01-01T00:00:00Z;Shenzhen;2.260.000.038.146.970;1.139.700.012.207.030
Q220083;beijing zoo;People's Republic of China;1906-01-01T00:00:00Z;Zhanlanlu Subdistrict;399.386.100.769.043;1.163.333.358.764.640
Q3845012;al ain zoo;United Arab Emirates;1969-01-01T00:00:00Z;;2.417.608.070.373.530;5.573.849.105.834.960
Q62266089;emirates park zoo;United Arab Emirates;;;;
Q138667725;jambu zoo;India;;;;
Q5359345;elephant nature park;Thailand;;;1.921.500.015.258.780;9.886.055.755.615.230
Q2585012;himeji central park;Japan;1984-03-25T00:00:00Z;Hyogo Prefecture;;
Q75331465;bali zoo;Indonesia;;Gianyar;;
Q137571140;yunnan wildlife park;People's Republic of China;;Kunming;;
Q7061713;tel aviv dolphinarium;Israel;;Tel Aviv;;
Q1073067;toba aquarium;Japan;1955-05-15T00:00:00Z;Toba;;
Q48725172;tata steel zoological park;India;;Jamshedpur;2.281.460.952.758.780;861.959.228.515.625
Q124315744;milad tower dolphinarium;Iran;;District 2;;
Q1026285;calauit safari park;Philippines;1976-08-31T00:00:00Z;Busuanga;;
Q5617187;gulab bagh and zoo;India;1881-01-01T00:00:00Z;Udaipur district;2.457.138.824.462.890;7.369.277.954.101.560
Q58322404;q58322404;Cambodia;;Phnom Penh;;
Q48732995;dg khan zoo;Pakistan;;;3.004.159.164.428.710;7.062.649.536.132.810
Q31197279;israel antelope ranch;Israel;;Arabah;;
Q5269661;dhodial pheasantry;Pakistan;;;3.442.055.511.474.600;7.325.360.870.361.320
Q4941423;bondla wildlife sanctuary;India;;;1.543.966.674.804.680;7.410.594.177.246.090
Q3156501;izu mito sea paradise;Japan;1930-01-01T00:00:00Z;Numazu;;
Q42796626;gan guru;Israel;1996-01-01T00:00:00Z;Nir David;;
Q48797664;samphran elephant ground & zoo;Thailand;;Sam Phran;1.377.016.639.709.470;1.002.538.070.678.710
Q41442819;q41442819;Israel;;Matzuva;;
Q137767184;sincan zoo;Turkey;;Sincan district;;
Q60776627;konya tropical butterfly garden;Turkey;;;;
Q65117876;harbin zoo;People's Republic of China;;;;
Q5578056;gokatsura pond furusato village;Japan;1993-01-01T00:00:00Z;;3.446.666.717.529.290;1.365.545.501.708.980
Q2859182;istanbul aquarium;Turkey;2011-04-01T00:00:00Z;Bakirköy;;
Q6055894;gaziantep zoo;Turkey;2001-01-01T00:00:00Z;Sahinbey district;3.703.333.282.470.700;3.729.999.923.706.050
Q5187417;crocolandia foundation;Philippines;2001-01-01T00:00:00Z;Talisay;;
Q4854746;bandung zoo;Indonesia;1933-01-01T00:00:00Z;Bandung;;
Q41860391;q41860391;Israel;;Sde Boker;;
Q60751176;lalazar safari park;Pakistan;;;;
Q5313401;dulhazra safari park;Bangladesh;;;;
Q3229621;leofoo village theme park;Taiwan;1979-01-01T00:00:00Z;Guanxi Township;;
Q4828854;avilon zoo;Philippines;2005-01-01T00:00:00Z;Q106825;1.474.472.236.633.300;1.211.516.647.338.860
Q97161072;"oomurasaki center, hokuto city";Japan;1995-01-01T00:00:00Z;Hokuto;;
Q4812638;atagawa tropical & alligator garden;Japan;1958-09-20T00:00:00Z;Higashiizu;3.481.660.079.956.050;1.390.679.016.113.280
Q6045732;soganli zoo;Turkey;;Bursa Province;;
Q47462824;nagaland zoological park;India;2008-08-28T00:00:00Z;Dimapur district;2.585.337.066.650.390;9.372.428.131.103.510
Q138081793;"himalayan zoological park, sikkim";India;;Gangtok;;
Q41793070;q41793070;Israel;;Katzrin;;
Q58061574;baja wildlife park;Pakistan;;Swabi;;
Q5507695;fukuoka municipal zoo and botanical garden;Japan;1953-08-01T00:00:00Z;Hirao-josuimachi;3.357.226.181.030.270;1.303.904.266.357.420
Q59587500;shaheed ashfaq ullah khan prani udyan;India;;Gorakhpur;2.671.920.013.427.730;8.340.840.148.925.780
Q4850846;taman safari bali (bali safari);Indonesia;2007-11-13T00:00:00Z;Gianyar;-8.581.000.328.063.960;1.153.441.009.521.480
Q30672224;bali butterfly park;Indonesia;;;;
Q60994248;q60994248;Taiwan;;Madou District;;
Q4802284;melaka zoo and bird park;Malaysia;1963-01-01T00:00:00Z;Melaka Tengah District;2.277.777.671.813.960;1.023.016.662.597.650
Q2859205;shanghai ocean aquarium;People's Republic of China;;;;
Q5507754;fukuyama city zoo;Japan;1978-04-01T00:00:00Z;Fukuyama;3.452.413.177.490.230;1.332.791.442.871.090
Q1445750;okinawa churaumi aquarium;Japan;2002-01-01T00:00:00Z;Motobu;;
Q28004709;seaworld abu dhabi;United Arab Emirates;2023-05-23T00:00:00Z;Abu Dhabi;2.448.566.818.237.300;5.461.853.408.813.470
Q4746784;amirthi zoological park;India;1967-01-01T00:00:00Z;;1.273.236.274.719.230;7.905.667.114.257.810
Q57896831;davao crocodile park;Philippines;;Davao City;;
Q42530840;peshawar zoo;Pakistan;2018-01-01T00:00:00Z;Peshawar;3.401.730.728.149.410;714.897.232.055.664
Q3055859;aqua park shinagawa;Japan;;Takanawa;;
Q48724223;kurumbapatti zoological park;India;;Tamil Nadu;1.174.415.302.276.610;7.817.094.421.386.710
Q61368132;siddharth garden and zoo;India;1984-01-01T00:00:00Z;Aurangabad;;
Q29129;taman safari indonesia 2;Indonesia;;;;
Q2584900;himeji city aquarium;Japan;1966-06-12T00:00:00Z;Himeji;;
Q48749937;utsunomiya zoo;Japan;;Utsunomiya;;
Q27963566;baluarte zoo;Philippines;;Q235004;1.755.187.034.606.930;1.203.761.672.973.630
Q5939541;vakilabad zoo;Iran;;Mashhad County;;
Q25040434;murree wildlife park;Pakistan;;Murree Tehsil;;
Q38278109;tsushima wildlife conservation center;Japan;1997-01-01T00:00:00Z;Tsushima;;
Q58423155;q58423155;Israel;1990-01-01T00:00:00Z;Bnei Brak;;
Q6055483;izmir zoo;Turkey;1938-01-01T00:00:00Z;Konak;;
Q38882839;petah tikva zoo;Israel;1954-01-01T00:00:00Z;Petah Tikva;;
Q81036087;bhagwan birsa biological park;India;;Jharkhand;;
Q6025038;indira gandhi zoological park;India;1977-01-01T00:00:00Z;;1.776.910.018.920.890;833.499.984.741.211
Q69535915;"ostrich farm, saifai, etawah";India;;Etawah district;;
Q17016128;yunnan wildlife park;People's Republic of China;;Panlong District;;
Q778531;karachi safari park;Pakistan;1970-01-01T00:00:00Z;Karachi;;
Q28146533;banteay srey butterfly centre;Cambodia;;Siem Reap;;
Q55237812;kakuzan zoo;Japan;;Tsuyama;;
Q697507;national museum of marine biology and aquarium;Taiwan;2000-02-25T00:00:00Z;Checheng Township;;
Q107455617;rungna dolphinarium;North Korea;2012-01-01T00:00:00Z;Pyongyang;;
Q41794740;monkey forest;Israel;1970-01-01T00:00:00Z;Yodfat;;
Q5565036;gita persada butterfly park;Indonesia;;North Telukbetung;;
Q137556044;baoding zoo;People's Republic of China;;Baoding;;
Q5528980;gaza zoo;Palestine;;Gaza Strip;3.148.030.853.271.480;3.444.537.353.515.620
Q5071705;changa manga;Pakistan;;Chunian Tehsil;3.108.333.396.911.620;7.396.666.717.529.290
Q5302436;jigokudani monkey park;Japan;1964-06-03T00:00:00Z;Yamanouchi;3.673.305.511.474.600;1.384.633.331.298.820
Q59255587;changsha ecological zoo;People's Republic of China;2010-01-01T00:00:00Z;;2.803.903.388.977.050;1.130.106.506.347.650
Q5310637;dubai zoo;United Arab Emirates;1967-01-01T00:00:00Z;Dubai;2.522.237.586.975.090;552.565.803.527.832
Q137534657;the pig museum;South Korea;;Icheon;;
Q29025197;comilla zoo and botanical garden;Bangladesh;;;2.347.222.137.451.170;9.117.138.671.875
Q3549275;qingdao underwater world;People's Republic of China;;;;
Q4851117;balkasar bear sanctuary;Pakistan;;;3.293.958.282.470.700;7.268.128.204.345.700
Q863153;yokohama hakkeijima sea paradise;Japan;1993-05-08T00:00:00Z;Yokohama;;
Q5316871;dushanbe zoo;Tajikistan;1960-01-01T00:00:00Z;Dushanbe;3.858.499.908.447.260;6.877.194.213.867.180
Q137938768;entopia;Malaysia;;Penang;;
Q28219616;johor zoo;Malaysia;1928-01-01T00:00:00Z;Johor Bahru;1.457.499.980.926.510;1.037.522.506.713.860
Q136867822;seoul zoo;South Korea;;Gyeonggi Province;;
Q30114492;nagoya zoo;Japan;;Tsurumai-cho;;
Q96473886;kish dolphinarium;Iran;;Kish;;
Q1191885;osaka aquarium kaiyukan;Japan;1990-01-01T00:00:00Z;Kaigandori;;
Q60768800;kemenuh butterfly park;Indonesia;;;;
Q5087827;chhatbir zoo;India;1977-01-01T00:00:00Z;;3.060.359.954.833.980;7.679.280.090.332.030
Q134437707;rainforest wild asia;Singapore;;Mandai;;
Q4923810;sriracha tiger zoo;Thailand;1997-01-01T00:00:00Z;Nong Kham;1.314.916.706.085.200;1.010.124.969.482.420
Q137571107;kunming zoo;People's Republic of China;;Kunming;;
Q113641605;q113641605;Palestine;1998-01-01T00:00:00Z;Gush Katif;;
Q39060593;phuket zoo;Thailand;1997-01-01T00:00:00Z;Chalong;784.279.203.414.917;9.835.794.067.382.810
Q41636597;zoo-botanical garden nahariya;Israel;2003-01-01T00:00:00Z;Nahariya;;
Q6440990;kuala lumpur butterfly park;Malaysia;;Kuala Lumpur;;
Q4345206;"utopia park, israel";Israel;2006-01-01T00:00:00Z;Bahan;;
Q11265357;taiji whale museum;Japan;1969-01-01T00:00:00Z;Taiji;;
Q4842512;bahawalpur zoo;Pakistan;1942-01-01T00:00:00Z;Bahawalpur;2.940.276.336.669.920;7.168.160.247.802.730
Q4809463;sea life istanbul;Turkey;2009-01-01T00:00:00Z;Bayrampasa;4.104.555.511.474.600;2.889.631.843.566.890
Q1132057;rayong aquarium;Thailand;;;;
Q138936537;awajishima monkey center;Japan;;Sumoto;;
Q110471376;dubai butterfly garden;United Arab Emirates;;;;
Q56349389;uda animal park;Japan;;Uda;;
Q48733001;kamalia wildlife park;Pakistan;;Kamalia Tehsil;;
Q28043528;jong's crocodile farm and zoo;Malaysia;1979-01-01T00:00:00Z;Siburan;1.412.972.211.837.760;110.335.693.359.375
Q1547682;jurong bird park;Singapore;1971-01-03T00:00:00Z;Boon Lay;;
Q553044;kamogawa sea world;Japan;1970-10-01T00:00:00Z;Kamogawa;;
Q7425054;sakai national park kujukushima zoo & botanical garden;Japan;1961-01-01T00:00:00Z;Sasebo;3.315.122.604.370.110;1.296.895.141.601.560
Q7741262;ice museum;Japan;;Kesennuma;;
Q7421103;sapporo maruyama zoo;Japan;1951-05-05T00:00:00Z;Miyagaoka;4.305.143.737.792.960;1.413.074.035.644.530
Q40493;sea world indonesia;Indonesia;1980-01-01T00:00:00Z;;;
Q4782624;aqua world;Japan;2002-03-21T00:00:00Z;Oarai-machi;;
Q6444237;kund park;Pakistan;2000-01-01T00:00:00Z;Nowshera;3.392.835.235.595.700;722.347.183.227.539
Q4782699;aquamarine fukushima;Japan;2000-07-15T00:00:00Z;Iwaki;;
Q7231211;port of nagoya public aquarium;Japan;1992-10-01T00:00:00Z;Minato-machi;;
Q95708949;firefly valley leisure park;Malaysia;;Kota Tinggi District;;
Q11341120;marinepia matsushima aquarium;Japan;;Matsushima;;
Q7695556;tel aviv zoo;Israel;1938-01-01T00:00:00Z;Tel Aviv;3.208.249.282.836.910;3.478.048.324.584.960
Q11357193;q11357193;Japan;;;;
Q7039114;ninoy aquino parks & wildlife center;Philippines;1954-07-05T00:00:00Z;;1.465.058.135.986.320;1.210.439.071.655.270
Q11267523;saitama aquarium;Japan;;Hanyu-shi;;
Q11361449;q11361449;Japan;;;;
Q97196287;yayoi ikoinohiroba;Japan;;Hirosaki;;
Q93202513;q93202513;Kurdistan;2020-01-01T00:00:00Z;Kurdistan Region of Iraq;;
Q11256102;q11256102;Japan;;Tateyama;;
Q11282869;aquatotto gifu;Japan;2004-07-14T00:00:00Z;Kakamigahara;;
